punto_index,x_original,y_original,x_robot,y_robot,theta1_rad,theta2_rad,theta1_deg,theta2_deg,alcanzable
1,6.76,0.0,21.76,0.0,-0.57,1.38,-32.77,78.97,true
2,6.76,0.02,21.76,0.02,-0.57,1.38,-32.72,78.97,true
3,6.76,0.04,21.76,0.04,-0.57,1.38,-32.66,78.96,true
4,6.76,0.06,21.76,0.06,-0.57,1.38,-32.59,78.94,true
5,6.77,0.09,21.77,0.09,-0.57,1.38,-32.53,78.91,true
6,6.77,0.11,21.77,0.11,-0.57,1.38,-32.46,78.88,true
7,6.78,0.13,21.78,0.13,-0.57,1.38,-32.39,78.84,true
8,6.79,0.15,21.79,0.15,-0.56,1.38,-32.31,78.79,true
9,6.79,0.17,21.79,0.17,-0.56,1.37,-32.23,78.73,true
10,6.8,0.19,21.8,0.19,-0.56,1.37,-32.15,78.67,true
11,6.81,0.21,21.81,0.21,-0.56,1.37,-32.07,78.6,true
12,6.83,0.24,21.83,0.24,-0.56,1.37,-31.98,78.52,true
13,6.84,0.26,21.84,0.26,-0.56,1.37,-31.89,78.44,true
14,6.85,0.28,21.85,0.28,-0.55,1.37,-31.8,78.34,true
15,6.87,0.3,21.87,0.3,-0.55,1.37,-31.7,78.24,true
16,6.88,0.32,21.88,0.32,-0.55,1.36,-31.6,78.14,true
17,6.9,0.35,21.9,0.35,-0.55,1.36,-31.5,78.02,true
18,6.92,0.37,21.92,0.37,-0.55,1.36,-31.4,77.9,true
19,6.94,0.39,21.94,0.39,-0.55,1.36,-31.29,77.77,true
20,6.95,0.42,21.95,0.42,-0.54,1.36,-31.18,77.64,true
21,6.98,0.44,21.98,0.44,-0.54,1.35,-31.06,77.5,true
22,7.0,0.46,22.0,0.46,-0.54,1.35,-30.95,77.35,true
23,7.02,0.49,22.02,0.49,-0.54,1.35,-30.83,77.2,true
24,7.04,0.51,22.04,0.51,-0.54,1.34,-30.71,77.04,true
25,7.07,0.53,22.07,0.53,-0.53,1.34,-30.58,76.87,true
26,7.09,0.56,22.09,0.56,-0.53,1.34,-30.45,76.7,true
27,7.12,0.58,22.12,0.58,-0.53,1.34,-30.32,76.52,true
28,7.14,0.61,22.14,0.61,-0.53,1.33,-30.19,76.33,true
29,7.17,0.63,22.17,0.63,-0.52,1.33,-30.05,76.14,true
30,7.2,0.66,22.2,0.66,-0.52,1.33,-29.91,75.94,true
31,7.23,0.68,22.23,0.68,-0.52,1.32,-29.77,75.74,true
32,7.26,0.71,22.26,0.71,-0.52,1.32,-29.63,75.53,true
33,7.29,0.74,22.29,0.74,-0.51,1.31,-29.48,75.32,true
34,7.32,0.76,22.32,0.76,-0.51,1.31,-29.33,75.1,true
35,7.35,0.79,22.35,0.79,-0.51,1.31,-29.18,74.88,true
36,7.38,0.82,22.38,0.82,-0.51,1.3,-29.02,74.65,true
37,7.42,0.84,22.42,0.84,-0.5,1.3,-28.87,74.42,true
38,7.45,0.87,22.45,0.87,-0.5,1.29,-28.71,74.18,true
39,7.48,0.9,22.48,0.9,-0.5,1.29,-28.55,73.94,true
40,7.52,0.93,22.52,0.93,-0.5,1.29,-28.38,73.69,true
41,7.55,0.95,22.55,0.95,-0.49,1.28,-28.22,73.44,true
42,7.59,0.98,22.59,0.98,-0.49,1.28,-28.05,73.19,true
43,7.62,1.01,22.62,1.01,-0.49,1.27,-27.88,72.93,true
44,7.66,1.04,22.66,1.04,-0.48,1.27,-27.7,72.67,true
45,7.69,1.07,22.69,1.07,-0.48,1.26,-27.53,72.4,true
46,7.73,1.1,22.73,1.1,-0.48,1.26,-27.36,72.13,true
47,7.77,1.13,22.77,1.13,-0.47,1.25,-27.18,71.86,true
48,7.8,1.16,22.8,1.16,-0.47,1.25,-27.0,71.59,true
49,7.84,1.19,22.84,1.19,-0.47,1.24,-26.82,71.31,true
50,7.88,1.22,22.88,1.22,-0.46,1.24,-26.64,71.03,true
51,7.91,1.25,22.91,1.25,-0.46,1.23,-26.45,70.75,true
52,7.95,1.28,22.95,1.28,-0.46,1.23,-26.27,70.46,true
53,7.99,1.32,22.99,1.32,-0.46,1.22,-26.08,70.18,true
54,8.03,1.35,23.03,1.35,-0.45,1.22,-25.89,69.89,true
55,8.06,1.38,23.06,1.38,-0.45,1.21,-25.7,69.6,true
56,8.1,1.41,23.1,1.41,-0.45,1.21,-25.51,69.31,true
57,8.14,1.45,23.14,1.45,-0.44,1.2,-25.32,69.02,true
58,8.18,1.48,23.18,1.48,-0.44,1.2,-25.13,68.73,true
59,8.21,1.51,23.21,1.51,-0.44,1.19,-24.94,68.44,true
60,8.25,1.55,23.25,1.55,-0.43,1.19,-24.75,68.15,true
61,8.29,1.58,23.29,1.58,-0.43,1.18,-24.55,67.85,true
62,8.32,1.61,23.32,1.61,-0.43,1.18,-24.36,67.56,true
63,8.36,1.65,23.36,1.65,-0.42,1.17,-24.17,67.27,true
64,8.4,1.68,23.4,1.68,-0.42,1.17,-23.97,66.98,true
65,8.43,1.72,23.43,1.72,-0.42,1.16,-23.78,66.69,true
66,8.47,1.75,23.47,1.75,-0.41,1.16,-23.59,66.4,true
67,8.5,1.79,23.5,1.79,-0.41,1.15,-23.39,66.11,true
68,8.54,1.82,23.54,1.82,-0.4,1.15,-23.2,65.82,true
69,8.57,1.86,23.57,1.86,-0.4,1.14,-23.0,65.54,true
70,8.6,1.89,23.6,1.89,-0.4,1.14,-22.81,65.25,true
71,8.64,1.93,23.64,1.93,-0.39,1.13,-22.62,64.97,true
72,8.67,1.97,23.67,1.97,-0.39,1.13,-22.43,64.7,true
73,8.7,2.0,23.7,2.0,-0.39,1.12,-22.24,64.42,true
74,8.73,2.04,23.73,2.04,-0.38,1.12,-22.05,64.15,true
75,8.76,2.08,23.76,2.08,-0.38,1.11,-21.86,63.88,true
76,8.8,2.11,23.8,2.11,-0.38,1.11,-21.67,63.61,true
77,8.83,2.15,23.83,2.15,-0.37,1.11,-21.49,63.35,true
78,8.85,2.18,23.85,2.18,-0.37,1.1,-21.3,63.09,true
79,8.88,2.22,23.88,2.22,-0.37,1.1,-21.12,62.83,true
80,8.91,2.26,23.91,2.26,-0.37,1.09,-20.93,62.58,true
81,8.94,2.29,23.94,2.29,-0.36,1.09,-20.75,62.34,true
82,8.96,2.33,23.96,2.33,-0.36,1.08,-20.58,62.1,true
83,8.99,2.37,23.99,2.37,-0.36,1.08,-20.4,61.86,true
84,9.01,2.41,24.01,2.41,-0.35,1.08,-20.22,61.63,true
85,9.04,2.44,24.04,2.44,-0.35,1.07,-20.05,61.4,true
86,9.06,2.48,24.06,2.48,-0.35,1.07,-19.88,61.18,true
87,9.08,2.52,24.08,2.52,-0.34,1.06,-19.71,60.97,true
