indice,x_cm,y_cm,theta1,theta2,alcanzable,configuracion,unidad_angulos
1,7.4521,0.0,30.9612,-74.2711,true,abajo,grados
2,7.4124,0.0233,31.1279,-74.5468,true,abajo,grados
3,7.3732,0.0463,31.2924,-74.8181,true,abajo,grados
4,7.3345,0.0691,31.4546,-75.085,true,abajo,grados
5,7.2964,0.0917,31.6145,-75.3471,true,abajo,grados
6,7.2588,0.114,31.772,-75.6044,true,abajo,grados
7,7.2218,0.1361,31.9271,-75.8568,true,abajo,grados
8,7.1855,0.158,32.0798,-76.104,true,abajo,grados
9,7.1498,0.1797,32.2299,-76.3459,true,abajo,grados
10,7.1148,0.2012,32.3775,-76.5824,true,abajo,grados
11,7.0805,0.2225,32.5226,-76.8134,true,abajo,grados
12,7.047,0.2436,32.6651,-77.0387,true,abajo,grados
13,7.0142,0.2646,32.8049,-77.2581,true,abajo,grados
14,6.9822,0.2853,32.9421,-77.4717,true,abajo,grados
15,6.951,0.3059,33.0765,-77.6791,true,abajo,grados
16,6.9207,0.3264,33.2083,-77.8804,true,abajo,grados
17,6.8912,0.3467,33.3374,-78.0755,true,abajo,grados
18,6.8626,0.3669,33.4637,-78.2641,true,abajo,grados
19,6.8348,0.3869,33.5872,-78.4463,true,abajo,grados
20,6.8081,0.4069,33.708,-78.6218,true,abajo,grados
21,6.7822,0.4267,33.826,-78.7907,true,abajo,grados
22,6.7573,0.4465,33.9412,-78.9528,true,abajo,grados
23,6.7334,0.4661,34.0535,-79.1081,true,abajo,grados
24,6.7105,0.4857,34.1631,-79.2564,true,abajo,grados
25,6.6886,0.5053,34.2699,-79.3977,true,abajo,grados
26,6.6678,0.5248,34.3738,-79.5319,true,abajo,grados
27,6.648,0.5442,34.4749,-79.659,true,abajo,grados
28,6.6292,0.5637,34.5732,-79.7789,true,abajo,grados
29,6.6115,0.5831,34.6687,-79.8915,true,abajo,grados
30,6.5949,0.6025,34.7614,-79.9967,true,abajo,grados
31,6.5794,0.6219,34.8513,-80.0946,true,abajo,grados
32,6.565,0.6414,34.9384,-80.185,true,abajo,grados
33,6.5517,0.6609,35.0227,-80.268,true,abajo,grados
34,6.5395,0.6804,35.1042,-80.3435,true,abajo,grados
35,6.5284,0.7,35.183,-80.4115,true,abajo,grados
36,6.5185,0.7196,35.2591,-80.4719,true,abajo,grados
37,6.5097,0.7394,35.3324,-80.5247,true,abajo,grados
38,6.5021,0.7592,35.403,-80.57,true,abajo,grados
39,6.4956,0.7792,35.471,-80.6076,true,abajo,grados
40,6.4902,0.7992,35.5362,-80.6376,true,abajo,grados
41,6.486,0.8194,35.5989,-80.66,true,abajo,grados
42,6.483,0.8397,35.6589,-80.6748,true,abajo,grados
43,6.481,0.8602,35.7163,-80.6819,true,abajo,grados
44,6.4803,0.8808,35.7711,-80.6815,true,abajo,grados
45,6.4807,0.9016,35.8234,-80.6735,true,abajo,grados
46,6.4822,0.9225,35.8732,-80.6579,true,abajo,grados
47,6.4848,0.9437,35.9204,-80.6347,true,abajo,grados
48,6.4886,0.9651,35.9653,-80.6041,true,abajo,grados
49,6.4935,0.9867,36.0076,-80.5659,true,abajo,grados
50,6.4995,1.0085,36.0476,-80.5203,true,abajo,grados
51,6.5066,1.0305,36.0853,-80.4673,true,abajo,grados
52,6.5148,1.0528,36.1205,-80.407,true,abajo,grados
53,6.524,1.0754,36.1535,-80.3393,true,abajo,grados
54,6.5344,1.0982,36.1842,-80.2644,true,abajo,grados
55,6.5458,1.1212,36.2127,-80.1823,true,abajo,grados
56,6.5582,1.1446,36.239,-80.0931,true,abajo,grados
57,6.5717,1.1682,36.2631,-79.9968,true,abajo,grados
58,6.5862,1.1922,36.2851,-79.8936,true,abajo,grados
59,6.6016,1.2164,36.3051,-79.7834,true,abajo,grados
60,6.6181,1.2409,36.3229,-79.6664,true,abajo,grados
61,6.6355,1.2658,36.3388,-79.5427,true,abajo,grados
62,6.6539,1.291,36.3527,-79.4123,true,abajo,grados
63,6.6731,1.3165,36.3647,-79.2754,true,abajo,grados
64,6.6933,1.3423,36.3748,-79.132,true,abajo,grados
